"TFC","TS","TFCD","TCDR","TET","TW","TI","TPL","TPLA","TOS","THW","TDAQ","TPOW","TCORR","TLOG","TEQS","TEQC","TCLK","TFSM","TANN","TDLIB","TDLIBXLD","TIL(0)"
0,0,0,0.000000,0.000000,0.024400,0.018900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,0.000000,0.000000,
0,1,0,0.000000,1.669200,0.050400,0.042600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.260100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,2,0,0.000000,999.082900,0.357200,0.345000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.281000,
0,3,0,0.000000,1999.935500,0.044500,0.037000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,4,0,0.000000,3000.077900,0.044700,0.036700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,5,0,0.000000,3999.497500,0.271800,0.264000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,6,0,0.000000,5002.182200,2.002100,1.993700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,7,0,0.000000,6003.908500,0.041100,0.032600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,8,0,0.000000,7006.251100,1.086300,1.074600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,1.012100,
0,9,0,0.000000,8008.133900,0.046600,0.038900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,10,0,1.000156,9009.379000,0.047100,0.039300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156300,0.000000,0.000000,0.007300,0.000000,0.000000,0.000100,0.000000,0.000000,
0,11,0,1.000156,10014.844700,0.048300,0.040600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154200,0.000000,0.000000,0.007300,0.000000,0.000000,0.000100,0.000000,0.000000,
0,12,0,1.000156,11014.876400,0.049100,0.041500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022200,0.000000,0.000000,0.007300,0.000000,0.000000,0.000100,0.000000,0.000000,
0,13,0,1.000156,12015.275600,1.109000,1.098000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164400,0.000000,0.000000,0.007300,0.000000,0.000000,0.000000,0.000000,1.035900,
0,14,0,1.000156,13022.189800,0.049200,0.041300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248900,0.000000,0.000000,0.007300,0.000000,0.000000,0.000100,0.000000,0.000000,
0,15,0,1.000156,14023.488400,1.082400,1.071400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152100,0.000000,0.000000,0.007300,0.000000,0.000000,0.000000,0.000000,1.012200,
0,16,0,1.000156,15027.904600,0.048400,0.040100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247700,0.000000,0.000000,0.007300,0.000000,0.000000,0.000100,0.000000,0.000000,
0,17,0,1.000156,16024.805400,1.082900,1.072200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022600,0.000000,0.000000,0.007300,0.000000,0.000000,0.000100,0.000000,1.006800,
0,18,0,1.000156,17025.978600,0.130200,0.121300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244700,0.000000,0.000000,0.007300,0.000000,0.000000,0.000100,0.000000,0.000000,
0,19,0,1.000156,18023.702300,0.054200,0.046500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130300,0.000000,0.000000,0.007300,0.000000,0.000000,0.000200,0.000000,0.000000,
0,20,0,0.999500,19029.863400,0.288700,0.280300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023900,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,21,0,0.999500,20037.044500,0.392200,0.383800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131600,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,22,0,0.999500,21035.646200,0.052600,0.044300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153000,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,23,0,0.999500,22036.996100,1.252700,1.243100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020300,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,1.033900,
0,24,0,0.999500,23038.101700,0.490700,0.481500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133900,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,25,0,0.999500,24039.251000,0.184200,0.176900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407200,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.142800,
0,26,0,0.999500,25033.520200,0.038800,0.033500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017400,0.000000,0.000000,0.007200,0.000000,0.000000,0.000000,0.000000,0.000000,
0,27,0,0.999500,26034.926500,0.047900,0.040100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017200,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,28,0,0.999500,27038.201200,0.048300,0.040600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157100,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,29,0,0.999500,28044.122600,0.070300,0.060600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022600,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,30,0,1.001052,29040.560500,1.184100,1.173700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163800,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,1.122400,
0,31,0,1.001052,30040.140300,0.250900,0.242200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143400,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,32,0,1.001052,31037.073000,0.059200,0.051000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022900,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,33,0,1.001052,32039.258400,0.057200,0.049600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022400,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
