type,input,counter
info,"VERSION","DRIVER:1.1.0.327"
info,"VERSION","DEVICE:1.1.0.327"
info,"VERSION","PROCESS:1.1.0.327"
key,"PROCESS(0)","OS::PROCESS:EXECNAME::"
key,"PROCESS(1)","OS::PROCESS:KERNEL:SECS:"
key,"PROCESS(2)","OS::PROCESS:USER:SECS:"
key,"PROCESS(3)","OS::PROCESS:IOREAD:BYTES:"
key,"PROCESS(4)","OS::PROCESS:IOWRITE:BYTES:"
key,"PROCESS(5)","OS::PROCESS:IOOTHER:BYTES:"
key,"PROCESS(6)","OS::PROCESS:PAGEFAULTS::"
key,"PROCESS(7)","OS:ETW:PROCESS:HARD_PAGEFAULTS::"
key,"PROCESS(8)","OS:ETW:PROCESS:DISKIO_READ:BYTES:"
key,"PROCESS(9)","OS:ETW:PROCESS:DISKIO_WRITE:BYTES:"
key,"PROCESS(10)","OS:ETW:PROCESS:TCPIP_SEND:BYTES:"
key,"PROCESS(11)","OS:ETW:PROCESS:TCPIP_RECEIVE:BYTES:"
key,"PROCESS(12)","OS:ETW:PROCESS:UDP_RECEIVE:BYTES:"
key,"PROCESS(13)","OS:ETW:PROCESS:UDP_SEND:BYTES:"
key,"PROCESS(14)","OS::PROCESS:WORKSET_SIZE:KBYTES:"
key,"PROCESS(15)","OS::PROCESS:PEAK_WORKSET_SIZE:KBYTES:"
key,"PROCESS(16)","OS::PROCESS:START_TIME::"
key,"PROCESS(17)","OS::PROCESS:CLOSE_TIME::"
key,"PROCESS(18)","OS::PROCESS:RUNNING_TIME:MS:"
key,"PROCESS(19)","OS::PROCESS:PARENT_PID::"
key,"PROCESS(20)","OS::PROCESS:FLAG::"
key,"PROCESS(21)","OS::PROCESS:FILENAME::"
key,"PROCESS(22)","OS::PROCESS:VERSION::"
key,"PROCESS(23)","OS::PROCESS:TOP_EXECNAME_BY_CPUUTIL::"
key,"PROCESS(24)","OS::PROCESS:TOP_EXEC_CPUUTIL:PERCENT:"
key,"PROCESS(25)","OS::PROCESS:TOP_EXECNAME_BY_DISK_READWRITE_BW::"
key,"PROCESS(26)","OS::PROCESS:TOP_EXEC_BY_DISK_READWRITE_BW:KBPS:"
key,"PROCESS(27)","OS::PROCESS:TOP_EXECNAME_BY_HARD_PAGEFAULTS::"
key,"PROCESS(28)","OS::PROCESS:TOP_EXEC_BY_HARD_PAGEFAULTS:PERSEC:"
key,"PROCESS(29)","OS::PROCESS:TOP_EXECNAME_BY_NETWORK_BW::"
key,"PROCESS(30)","OS::PROCESS:TOP_EXEC_BY_BY_NETWORK_BW:KBPS:"
key,"PROCESS(31)","OS::PROCESS:TOP_EXECNAME_BY_IO_READWRITE_BW::"
key,"PROCESS(32)","OS::PROCESS:TOP_EXEC_BY_IO_READWRITE_BW:KBPS:"
key,"PROCESS(33)","OS::PROCESS:TOP_PROCESS_ELAPSED_TIME:MS:"
key,"PROCESS(34)","OS::PROCESS:CREATE_EXECNAME::"
key,"TFC","Out-of-cycle (flag)"
key,"TS","Sample Count (samples)"
key,"TFCD","Clock Drift (flag)"
key,"TCDR","Clock Drift Ratio (no unit)"
key,"TET","Elapsed Time Since ESRV Start (ms)"
key,"TW","Wall Time (ms)"
key,"TI","Input(s) Time (ms)"
key,"TPL","PL Time (ms)"
key,"TPLA","PL Agent Time (ms)"
key,"TOS","OS Time (ms)"
key,"THW","HW Time (ms)"
key,"TDAQ","DAQ Time (ms)"
key,"TPOW","Power Time (ms)"
key,"TCORR","Correlation Time (ms)"
key,"TLOG","LOG Time (ms)"
key,"TEQS","Equation Selection Time (ms)"
key,"TEQC","Equation(s) Computation Time (ms)"
key,"TCLK","CLK Time (ms)"
key,"TFSM","FSM Time (ms)"
key,"TANN","ANN Time (ms)"
key,"TDLIB","DYNLIB Time (ms)"
key,"TDLIBXLD","DLIBXLD Last Time (ms)"
key,"TIL(0)","Input Library [PROCESS] Time (ms)"
